MooreRank,Team,W,L,T,MooreSOS,MoorePR,Season,TeamID
18,ARIZONA,32,5,0,70.07,79.93,2017,1112
29,ARIZONA,27,8,0,72.49,79.22,2018,1112
54,ARIZONA ST.,22,11,0,73.69,79.74,2010,1113
100,ARIZONA ST.,12,19,0,75.01,73.58,2011,1113
175,ARIZONA ST.,9,21,0,71.88,65.96,2012,1113
80,ARIZONA ST.,22,13,0,69.34,74.09,2013,1113
58,ARIZONA ST.,21,12,0,71.93,76.11,2014,1113
74,ARIZONA ST.,18,16,0,71.53,73.39,2015,1113
97,ARIZONA ST.,15,17,0,72.71,70.65,2016,1113
101,ARIZONA ST.,15,18,0,69.16,65.7,2017,1113
43,ARIZONA ST.,20,12,0,71.02,77.22,2018,1113
92,ARKANSAS,14,18,0,73.47,75.07,2010,1116
98,ARKANSAS,18,13,0,69.51,73.66,2011,1116
141,ARKANSAS,18,14,0,70.23,69.09,2012,1116
75,ARKANSAS,19,13,0,71.44,74.63,2013,1116
52,ARKANSAS,22,12,0,70.65,77.42,2014,1116
27,ARKANSAS,27,9,0,72.16,79.12,2015,1116
71,ARKANSAS,16,16,0,71.85,73.88,2016,1116
30,ARKANSAS,26,10,0,71.54,76.96,2017,1116
30,ARKANSAS,23,12,0,75.79,79.07,2018,1116
277,ARKANSAS LITTLE ROCK,8,22,0,66.05,57.86,2010,1114
199,ARKANSAS LITTLE ROCK,19,17,0,65.46,65.24,2011,1114
184,ARKANSAS LITTLE ROCK,15,16,0,65.55,65.12,2012,1114
247,ARKANSAS LITTLE ROCK,17,15,0,64.65,60.37,2013,1114
220,ARKANSAS LITTLE ROCK,15,17,0,63.87,61.84,2014,1114
236,ARKANSAS LITTLE ROCK,13,18,0,60.61,59.66,2015,1114
102,ARKANSAS LITTLE ROCK,30,5,0,61.35,70.29,2016,1114
313,ARKANSAS LITTLE ROCK,15,17,0,57.87,49.44,2017,1114
309,ARKANSAS LITTLE ROCK,7,25,0,60.53,54.26,2018,1114
206,ARKANSAS ST.,17,14,0,63.93,64.51,2010,1117
180,ARKANSAS ST.,17,15,0,63.97,66.21,2011,1117
189,ARKANSAS ST.,15,20,0,65.34,64.98,2012,1117
142,ARKANSAS ST.,19,12,0,62.68,68.09,2013,1117
172,ARKANSAS ST.,19,13,0,60.64,65.59,2014,1117
315,ARKANSAS ST.,11,18,0,58.82,51.92,2015,1117
283,ARKANSAS ST.,11,20,0,59.44,54.33,2016,1117
98,ARKANSAS ST.,20,12,0,59.69,66.06,2017,1117
317,ARKANSAS ST.,11,21,0,58.89,53.32,2018,1117
249,ARKANSAS-PINE BLUFF,18,16,0,60.51,60.23,2010,1115
340,ARKANSAS-PINE BLUFF,7,24,0,58.3,46.64,2011,1115
326,ARKANSAS-PINE BLUFF,11,22,0,57.94,50.12,2012,1115
293,ARKANSAS-PINE BLUFF,16,14,0,56.62,55.65,2013,1115
334,ARKANSAS-PINE BLUFF,13,18,0,56.46,49.38,2014,1115
341,ARKANSAS-PINE BLUFF,12,20,0,55.25,47.57,2015,1115
347,ARKANSAS-PINE BLUFF,8,25,0,56.73,43.06,2016,1115
346,ARKANSAS-PINE BLUFF,7,25,0,53.51,42.35,2017,1115
331,ARKANSAS-PINE BLUFF,14,21,0,57.21,51.28,2018,1115
269,ARMY,14,15,0,61.05,58.2,2010,1119
318,ARMY,11,19,0,60.3,53.08,2011,1119
297,ARMY,12,18,0,61.43,55.71,2012,1119
171,ARMY,16,15,0,61.84,66.25,2013,1119
208,ARMY,15,16,0,63,62.75,2014,1119
244,ARMY,15,14,0,61.65,59.26,2015,1119
236,ARMY,19,14,0,58.77,58.08,2016,1119
178,ARMY,13,19,0,61.46,59.43,2017,1119
209,ARMY,13,17,0,62.03,61.52,2018,1119
79,AUBURN,15,17,0,73.05,76.62,2010,1120
148,AUBURN,11,20,0,70.45,68.54,2011,1120
127,AUBURN,15,16,0,70.69,70.64,2012,1120
175,AUBURN,9,23,0,71.19,65.81,2013,1120
134,AUBURN,14,16,0,71.35,68.54,2014,1120
107,AUBURN,15,20,0,72.75,68.99,2015,1120
181,AUBURN,11,20,0,72.77,62.18,2016,1120
75,AUBURN,18,14,0,69.31,69.56,2017,1120
28,AUBURN,26,8,0,73.27,79.29,2018,1120
229,AUSTIN PEAY,17,15,0,65.95,62.56,2010,1122
157,AUSTIN PEAY,20,14,0,63.9,67.73,2011,1122
228,AUSTIN PEAY,12,20,0,65.29,61.94,2012,1122
308,AUSTIN PEAY,8,23,0,62.6,53.31,2013,1122
305,AUSTIN PEAY,12,18,0,58.7,54.37,2014,1122
317,AUSTIN PEAY,8,22,0,61.75,51.42,2015,1122
226,AUSTIN PEAY,18,18,0,59.8,59.21,2016,1122
273,AUSTIN PEAY,11,19,0,58.17,52.65,2017,1122
163,AUSTIN PEAY,19,15,0,63.64,65,2018,1122
238,BALL ST.,15,15,0,64.65,61.8,2010,1123
185,BALL ST.,19,13,0,63.88,65.89,2011,1123
208,BALL ST.,15,15,0,63.19,63.29,2012,1123
232,BALL ST.,15,15,0,63.63,61.01,2013,1123
